RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:24:43::475,57695,141,0.30,0.29,0.31,0.35,1.09,1.21
2023/07/10/ 11:24:43::886,58104,142,0.30,0.29,0.31,0.35,0.98,1.73
2023/07/10/ 11:24:44::300,58515,143,0.30,0.29,0.31,0.36,0.92,1.47
2023/07/10/ 11:24:44::712,58925,144,0.30,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:24:45::128,59334,145,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:24:45::541,59745,146,0.31,0.29,0.31,0.35,0.97,1.34
2023/07/10/ 11:24:45::948,60154,147,0.30,0.29,0.31,0.35,1.07,1.23
2023/07/10/ 11:24:46::366,60564,148,0.30,0.29,0.31,0.36,0.91,1.83
2023/07/10/ 11:24:46::779,60975,149,0.31,0.29,0.31,0.35,1.00,1.28
2023/07/10/ 11:24:47::190,61384,150,0.30,0.29,0.31,0.35,1.08,1.35
2023/07/10/ 11:24:47::604,61794,151,0.30,0.29,0.31,0.36,0.87,1.74
2023/07/10/ 11:24:48::018,62204,152,0.30,0.29,0.32,0.35,1.06,1.22
2023/07/10/ 11:24:48::430,62614,153,0.30,0.29,0.31,0.36,1.02,1.60
2023/07/10/ 11:24:48::843,63024,154,0.31,0.29,0.31,0.36,0.90,1.56
2023/07/10/ 11:24:49::256,63434,155,0.30,0.29,0.31,0.35,1.09,1.21
2023/07/10/ 11:24:49::668,63844,156,0.30,0.29,0.31,0.36,0.96,1.79
2023/07/10/ 11:24:50::084,64253,157,0.31,0.29,0.31,0.35,0.96,1.38
2023/07/10/ 11:24:50::497,64664,158,0.30,0.29,0.32,0.35,1.07,1.22
2023/07/10/ 11:24:50::909,65074,159,0.30,0.29,0.31,0.36,0.92,1.83
2023/07/10/ 11:24:51::321,65483,160,0.31,0.29,0.32,0.35,0.99,1.32
2023/07/10/ 11:24:51::736,65894,161,0.30,0.29,0.31,0.35,1.08,1.30
2023/07/10/ 11:24:52::147,66304,162,0.30,0.29,0.31,0.36,0.87,1.78
2023/07/10/ 11:24:52::564,66713,163,0.31,0.29,0.32,0.35,1.04,1.22
2023/07/10/ 11:24:52::974,67124,164,0.30,0.29,0.31,0.35,1.05,1.52
2023/07/10/ 11:24:53::356,67533,165,0.30,0.29,0.31,0.35,0.88,1.62
2023/07/10/ 11:24:53::800,67943,166,0.31,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:24:54::212,68354,167,0.30,0.29,0.31,0.35,0.97,1.76
2023/07/10/ 11:24:54::626,68763,168,0.30,0.29,0.31,0.36,0.94,1.41
2023/07/10/ 11:24:55::013,69173,169,0.30,0.29,0.31,0.35,1.08,1.23
2023/07/10/ 11:24:55::453,69583,170,0.30,0.29,0.31,0.36,0.93,1.82
2023/07/10/ 11:24:55::865,69993,171,0.31,0.29,0.32,0.35,0.98,1.32
2023/07/10/ 11:24:56::278,70404,172,0.30,0.29,0.31,0.35,1.07,1.27
2023/07/10/ 11:24:56::693,70813,173,0.30,0.29,0.31,0.36,0.89,1.80
2023/07/10/ 11:24:57::103,71223,174,0.31,0.29,0.32,0.35,1.02,1.23
2023/07/10/ 11:24:57::517,71633,175,0.30,0.29,0.31,0.35,1.06,1.48
2023/07/10/ 11:24:57::931,72043,176,0.30,0.29,0.31,0.36,0.87,1.64
2023/07/10/ 11:24:58::343,72453,177,0.31,0.29,0.32,0.35,1.08,1.21
2023/07/10/ 11:24:58::757,72863,178,0.30,0.29,0.31,0.36,0.98,1.73
2023/07/10/ 11:24:59::170,73273,179,0.31,0.29,0.31,0.36,0.93,1.45
2023/07/10/ 11:24:59::581,73682,180,0.30,0.29,0.31,0.35,1.08,1.22
2023/07/10/ 11:24:59::995,74093,181,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:25:00::408,74503,182,0.31,0.29,0.31,0.35,0.97,1.33
2023/07/10/ 11:25:00::822,74912,183,0.30,0.29,0.32,0.35,1.07,1.25
2023/07/10/ 11:25:01::233,75323,184,0.30,0.29,0.31,0.36,0.90,1.81
2023/07/10/ 11:25:01::647,75732,185,0.31,0.29,0.32,0.35,1.01,1.25
2023/07/10/ 11:25:02::059,76142,186,0.30,0.29,0.31,0.35,1.07,1.42
2023/07/10/ 11:25:02::473,76553,187,0.30,0.29,0.32,0.36,0.86,1.69
2023/07/10/ 11:25:02::890,76962,188,0.30,0.29,0.32,0.35,1.07,1.20
2023/07/10/ 11:25:03::296,77373,189,0.30,0.29,0.31,0.36,1.00,1.69
2023/07/10/ 11:25:03::712,77783,190,0.31,0.29,0.31,0.36,0.92,1.47
