RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:38::617,51266,2.72
2023/07/18/ 10:23:38::645,51292,2.07
2023/07/18/ 10:23:38::665,51317,2.45
2023/07/18/ 10:23:38::696,51343,2.64
2023/07/18/ 10:23:38::722,51368,2.64
2023/07/18/ 10:23:38::761,51394,2.31
2023/07/18/ 10:23:38::770,51420,2.72
2023/07/18/ 10:23:38::797,51445,2.54
2023/07/18/ 10:23:38::821,51471,3.11
2023/07/18/ 10:23:38::878,51496,2.78
2023/07/18/ 10:23:38::878,51522,2.48
2023/07/18/ 10:23:38::900,51548,2.51
2023/07/18/ 10:23:38::926,51574,2.28
2023/07/18/ 10:23:38::949,51600,2.61
2023/07/18/ 10:23:38::976,51625,2.77
2023/07/18/ 10:23:39::003,51651,2.74
2023/07/18/ 10:23:39::029,51677,2.58
2023/07/18/ 10:23:39::053,51702,2.40
2023/07/18/ 10:23:39::088,51728,2.84
2023/07/18/ 10:23:39::110,51753,2.66
2023/07/18/ 10:23:39::132,51779,2.75
2023/07/18/ 10:23:39::156,51805,2.69
2023/07/18/ 10:23:39::200,51830,2.52
2023/07/18/ 10:23:39::209,51856,2.44
2023/07/18/ 10:23:39::234,51881,1.89
2023/07/18/ 10:23:39::258,51908,2.58
2023/07/18/ 10:23:39::309,51934,2.66
2023/07/18/ 10:23:39::314,51959,2.59
2023/07/18/ 10:23:39::336,51985,2.90
2023/07/18/ 10:23:39::359,52011,2.35
2023/07/18/ 10:23:39::391,52036,2.39
2023/07/18/ 10:23:39::417,52062,2.95
2023/07/18/ 10:23:39::438,52087,2.53
2023/07/18/ 10:23:39::463,52113,2.50
2023/07/18/ 10:23:39::490,52139,2.46
2023/07/18/ 10:23:39::517,52164,2.53
2023/07/18/ 10:23:39::541,52190,2.42
2023/07/18/ 10:23:39::565,52215,2.51
2023/07/18/ 10:23:39::594,52242,2.05
2023/07/18/ 10:23:39::633,52268,2.64
2023/07/18/ 10:23:39::641,52293,2.13
2023/07/18/ 10:23:39::670,52319,2.69
2023/07/18/ 10:23:39::697,52344,2.62
2023/07/18/ 10:23:39::737,52370,2.24
2023/07/18/ 10:23:39::746,52396,2.21
2023/07/18/ 10:23:39::771,52421,2.53
2023/07/18/ 10:23:39::797,52447,2.44
2023/07/18/ 10:23:39::824,52472,2.44
2023/07/18/ 10:23:39::850,52498,2.61
2023/07/18/ 10:23:39::876,52524,2.64
2023/07/18/ 10:23:39::902,52549,2.24
2023/07/18/ 10:23:39::926,52576,2.63
2023/07/18/ 10:23:39::956,52601,2.67
2023/07/18/ 10:23:39::979,52627,2.50
2023/07/18/ 10:23:40::004,52653,2.70
2023/07/18/ 10:23:40::029,52678,2.82
2023/07/18/ 10:23:40::075,52704,2.66
2023/07/18/ 10:23:40::081,52729,2.76
2023/07/18/ 10:23:40::103,52755,2.53
2023/07/18/ 10:23:40::129,52781,2.45
2023/07/18/ 10:23:40::176,52806,2.49
2023/07/18/ 10:23:40::184,52832,2.33
2023/07/18/ 10:23:40::208,52857,2.58
2023/07/18/ 10:23:40::232,52884,2.52
2023/07/18/ 10:23:40::261,52910,2.97
2023/07/18/ 10:23:40::287,52935,2.92
2023/07/18/ 10:23:40::308,52961,2.38
2023/07/18/ 10:23:40::334,52986,2.37
2023/07/18/ 10:23:40::364,53012,2.46
2023/07/18/ 10:23:40::402,53038,2.54
2023/07/18/ 10:23:40::414,53063,2.58
2023/07/18/ 10:23:40::438,53089,2.35
2023/07/18/ 10:23:40::466,53114,2.92
2023/07/18/ 10:23:40::505,53140,2.82
2023/07/18/ 10:23:40::514,53166,2.63
2023/07/18/ 10:23:40::545,53191,2.52
